News	https://www.srf.ch/news/international/kampf-der-wirtschaftsmaechte-fuehren-bald-alle-wege-nach-peking	671	
News	https://www.srf.ch/news/schweiz/umstrittene-ausschaffungs-haft-gefaengnisse-sind-fuer-administrativhaft-ungeeignet	667	
Meteo	https://www.srf.ch/meteo/meteo-news/kalte-nacht-minus-20-grad-am-ofenpass	650	
News	https://m.srf.ch/news/international/eu-gipfel-in-bruessel-brexit-verschiebung-wohl-nur-unter-bedingungen-moeglich	638	
Sport	https://m.srf.ch/sport/fussball/test-laenderspiele/testspiel-in-wolfsburg-deutschland-gegen-serbien-nur-mit-remis	637	
Sport	https://www.srf.ch/article/16977750/amp	622	
Kultur	https://www.srf.ch/kultur/wissen/klimafreundliche-e-flugzeuge-fliegen-mit-strom-ein-holpriger-weg	617	
News	https://www.srf.ch/news/regional/basel-baselland/baselworld-2019-aussteller-immer-noch-unzufrieden-mit-der-messeleitung	609	
News	https://www.srf.ch/news/schweiz/spektakulaere-kehrtwende-svp-stellt-sich-gegen-hoehere-krankenkassen-franchise	602	
News	https://www.srf.ch/news/wirtschaft/phase-der-negativzinsen-nationalbank-haelt-an-ihrer-geldpolitik-fest	597	
Sendungen	https://www.srf.ch/sendungen/kassensturz-espresso/mieses-geschaeft-mit-sammlermuenzen	593	
News	https://www.srf.ch/news/international/vor-treffen-mit-netanjahu-trump-will-israels-souveraenitaet-ueber-golanhoehen-anerkennen	592	
News	https://www.srf.ch/article/16973106/amp	564	
News	https://www.srf.ch/news/wirtschaft/leitzins-bleibt-konstant-us-notenbank-drueckt-auf-die-bremse	554	
Meteo	https://www.srf.ch/meteo/schweiz/prognose-schweiz	541	
News	https://m.srf.ch/news/schweiz/schweizer-oev-system-in-gefahr-sbb-kritisiert-das-rahmenabkommen	536	
News	https://m.srf.ch/news/panorama/100-jahre-zirkus-knie-der-zirkus-der-adolf-hitler-und-charlie-chaplin-bespasste	532	
News	https://www.srf.ch/news/panorama/game-developer-s-conference-gdc-kleine-schweiz-ganz-gross-an-wichtigster-game-messe	518	
Sendungen	https://www.srf.ch/sendungen/hallosrf/schoene-aussichten	508	
News	https://www.srf.ch/article/16974486/amp	490	
News	https://www.srf.ch/news/international/entscheid-in-bruessel-evp-suspendiert-orbans-fidesz-partei	486	
Sendungen	https://www.srf.ch/sendungen/kassensturz-espresso/hoechstens-ein-passagier-pro-flugzeug-bezahlt-co2-kompensation-2	486	
Sport	https://m.srf.ch/sport/fussball/nationalmannschaft/news-zur-nationalmannschaft-mehmedi-reist-nicht-nach-georgien	485	
News	https://m.srf.ch/news/international/wegen-sanktionen-des-westens-iran-ein-land-im-krisenmodus	479	
Sendungen	https://www.srf.ch/sendungen/kassensturz-espresso/firmenkonkurs-ist-mein-gutschein-nun-wertlos	479	
Kultur	https://www.srf.ch/kultur/gesellschaft-religion/self-storage-im-trend-der-traum-vom-stauraum	470	
News	https://www.srf.ch/news/regional/graubuenden/woelfe-am-calanda-wenn-junge-woelfe-nicht-vor-menschen-fliehen	470	
Sport	https://m.srf.ch/sport/eishockey/nhl/einjahresvertrag-in-der-nhl-merzlikins-per-sofort-zu-columbus	466	
News	https://www-srf-ch.cdn.ampproject.org/v/s/www.srf.ch/article/16980378/amp?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D	460	
News	https://www.srf.ch/news/international/reaktionen-auf-karadzic-urteil-alle-sehen-sich-als-opfer-und-niemand-als-taeter	454	
News	https://m.srf.ch/news/international/kriegsmaterial-aus-syrien-moskaus-trophaeen-zug-rollt-durchs-land	453	
News	https://www.srf.ch/news/international/machtkampf-in-venezuela-das-gespenst-einer-militaerintervention	440	
News	https://www.srf.ch/news/international/rueckblick-auf-den-bosnienkrieg-so-grausam-ging-karadzic-vor	438	
News	https://m.srf.ch/news/international/niederlaendische-regionalwahlen-herbe-verluste-fuer-ministerpraesident-mark-rutte	432	
